Award_ID,Contract_Number,Award_Date,Fiscal_Year,VISN,Facility_Name,Contracting_Office,Vendor_Name,Vendor_UEI,Vendor_Size,Socioeconomic_Category,Category,NAICS_Code,NAICS_Description,PSC_Code,Contract_Type,Competition_Type,Set_Aside_Type,Number_of_Offers_Received,Award_Amount,Period_of_Performance_Start,Period_of_Performance_End,Period_of_Performance_Months
AWD-000459,36C137696Y157,2023-04-27,2023,13,VISN 13 Medical Center North,National Acquisition Center (NAC),Legacy Associates,9NMYPSF96PYK,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D307,Labor Hour,Sole Source,Full and Open (No Set-Aside),1,468086.93,2023-05-18,2025-05-16,24
AWD-000460,36C025534Y541,2025-06-19,2025,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 17,Meridian LLC,MZABT3W9EWPE,Other Than Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q301,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,109385.35,2025-07-09,2026-07-08,12
AWD-000461,36C165442Y746,2021-02-17,2021,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 9,Legacy Industries,LJUFYW8TJDUY,Small Business,HUBZone,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q401,Time and Materials,Set-Aside,HUBZone,6,1400144.36,2021-03-18,2023-03-17,24
AWD-000462,36C124299I905,2021-11-09,2022,12,VISN 12 Medical Center North,SAO West,Liberty Enterprises,ZC9KFPJRV239,Small Business,N/A,Facilities Management,561210,Facilities Support Services,S214,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,166845.82,2021-11-13,2024-11-11,36
AWD-000463,36C143883I310,2019-07-01,2019,14,VISN 14 Medical Center South,Network Contracting Office (NCO) 13,Anchor Solutions,LK5SWEEDB2VA,Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R425,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),7,336648.02,2019-07-30,2022-07-28,36
AWD-000464,36C022358X592,2023-11-22,2024,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 14,Atlas Enterprises,4ZXK5KEF4PR8,Small Business,SDVOSB,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q201,Firm Fixed Price,Set-Aside,SDVOSB,4,459656.57,2023-12-20,2027-12-18,48
AWD-000465,36C049076T126,2019-01-07,2019,4,VISN 4 Medical Center Main,Network Contracting Office (NCO) 4,Unity Solutions,PLSC2W5YWDAS,Other Than Small Business,N/A,Facilities Management,561720,Janitorial Services,S214,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),4,122558.74,2019-01-31,2021-01-29,24
AWD-000466,36C154047Y198,2024-10-30,2025,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 11,Legacy Industries,2B4S3T6REBPT,Other Than Small Business,N/A,Facilities Management,561210,Facilities Support Services,S201,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),6,25570.73,2024-11-29,2025-05-30,6
AWD-000467,36C026030U820,2025-01-14,2025,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 10,Cornerstone Technologies,E6CB7YHH5K7C,Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6520,Labor Hour,Set-Aside,Small Business,2,872502.06,2025-01-25,2026-01-24,12
AWD-000468,36C132492C785,2021-03-18,2021,13,VISN 13 Medical Center South,Network Contracting Office (NCO) 7,Vanguard Federal Services,TDXHTEQDZWR2,Small Business,VOSB,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6525,Firm Fixed Price,Set-Aside,VOSB,4,263245.7,2021-04-01,2022-03-31,12
AWD-000469,36C183985O684,2023-01-31,2023,18,VISN 18 Medical Center Main,Network Contracting Office (NCO) 12,Anchor Industries,F7584QRPNFXS,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6525,Time and Materials,Full and Open,Full and Open (No Set-Aside),5,208556.43,2023-02-05,2024-02-04,12
AWD-000470,36C076128J732,2023-11-02,2024,7,VISN 7 Medical Center Main,SAO East,Summit Technologies,SQWPNARVZ7PC,Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R408,IDIQ,Full and Open,Full and Open (No Set-Aside),3,699904.03,2023-11-08,2025-11-06,24
AWD-000471,36C042819W522,2019-10-14,2020,4,VISN 4 Medical Center North,Network Contracting Office (NCO) 10,Vertex Industries,YG9SX9JDXQLV,Other Than Small Business,N/A,Construction,236220,Commercial Building Construction,Z1AA,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),2,110563.26,2019-10-22,2024-10-19,60
AWD-000472,36C135680P784,2026-06-13,2026,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 6,Guardian Group,3EG3LXRJLKVB,Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6505,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),8,1030520.87,2026-06-24,2029-06-22,36
AWD-000473,36C133133W732,2022-09-14,2022,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 13,Precision Federal Services,9X7SELBGF342,Other Than Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6515,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),8,5834747.04,2022-10-12,2025-10-10,36
AWD-000474,36C122211O565,2025-12-27,2026,12,VISN 12 Medical Center North,Strategic Acquisition Center (SAC) - Frederick,Horizon Group,3ENMRUVVV9G8,Other Than Small Business,N/A,IT Services,541519,Other Computer Related Services,D302,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),10,2427950.15,2026-01-10,2028-01-09,24
AWD-000475,36C176989U432,2022-07-09,2022,17,VISN 17 Medical Center Main,Technology Acquisition Center (TAC),Beacon Federal Services,LVQGZ7L4FSDD,Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Firm Fixed Price,Set-Aside,Small Business,4,4697752.57,2022-08-06,2023-08-05,12
AWD-000476,36C074694S581,2026-06-10,2026,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 7,Apex Solutions,D87YPSBDE6PL,Other Than Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),6,350261.75,2026-06-30,2029-06-28,36
AWD-000477,36C055115O780,2020-05-25,2020,5,VISN 5 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Pinnacle Systems,PRWV2PQGZCLX,Other Than Small Business,N/A,Facilities Management,561210,Facilities Support Services,S214,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),6,871882.53,2020-06-17,2022-06-16,24
AWD-000478,36C111112H738,2022-05-15,2022,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 7,Frontier Consulting,BYBBDHKGSV4W,Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D307,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,107283.44,2022-06-02,2025-05-31,36
AWD-000479,36C169344D651,2024-09-08,2024,16,VISN 16 Medical Center North,Network Contracting Office (NCO) 10,Frontier LLC,4SSTCJV4BF5G,Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q401,IDIQ,Full and Open,Full and Open (No Set-Aside),5,541897.53,2024-09-14,2026-09-13,24
AWD-000480,36C067839C633,2022-06-20,2022,6,VISN 6 Medical Center South,Network Contracting Office (NCO) 1,Pinnacle Systems,SHYJ6EFCVVDB,Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Firm Fixed Price,Set-Aside,Small Business,5,556954.97,2022-06-28,2024-06-26,24
AWD-000481,36C156242M235,2026-06-24,2026,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 11,Beacon Group,Q8756P6UF5ZP,Other Than Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R425,IDIQ,Full and Open,Full and Open (No Set-Aside),5,244117.76,2026-07-20,2028-07-18,24
AWD-000482,36C189424A786,2023-07-31,2023,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 10,Liberty Solutions,LYPSX447QJV5,Small Business,SDVOSB,Construction,236220,Commercial Building Construction,Z1AA,Labor Hour,Set-Aside,SDVOSB,2,315497.7,2023-08-16,2024-08-14,12
AWD-000483,36C034415F450,2022-08-29,2022,3,VISN 3 Medical Center South,Strategic Acquisition Center (SAC) - Frederick,Pinnacle Federal Services,D39GJHH6C688,Small Business,HUBZone,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q401,Firm Fixed Price,Set-Aside,HUBZone,2,452219.92,2022-09-21,2024-09-19,24
AWD-000484,36C098426C978,2023-07-07,2023,9,VISN 9 Medical Center North,Network Contracting Office (NCO) 12,Guardian Group,52W39U3LLDZY,Other Than Small Business,N/A,Facilities Management,561720,Janitorial Services,S214,Blanket Purchase Agreement (BPA),Sole Source,Full and Open (No Set-Aside),1,272950.35,2023-07-07,2024-07-05,12
AWD-000485,36C141374I942,2022-04-26,2022,14,VISN 14 Medical Center North,Network Contracting Office (NCO) 14,Meridian Partners,2QZGMVC2L92K,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D307,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),2,2041262.12,2022-05-10,2025-05-08,36
AWD-000486,36C126148N343,2025-03-20,2025,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 7,Anchor Consulting,LBRFZ22BETXJ,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D316,Time and Materials,Full and Open,Full and Open (No Set-Aside),3,1274482.31,2025-04-04,2028-04-02,36
AWD-000487,36C168911G973,2020-06-05,2020,16,VISN 16 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Frontier Systems,NTMKF8LJTMDJ,Other Than Small Business,N/A,IT Services,541519,Other Computer Related Services,D307,Firm Fixed Price,Set-Aside,Full and Open (No Set-Aside),7,1439290.24,2020-06-24,2025-06-22,60
AWD-000488,36C069524Z502,2021-02-24,2021,6,VISN 6 Medical Center South,SAO East,Frontier Federal Services,DK59RXRMZS3M,Small Business,N/A,Facilities Management,561720,Janitorial Services,S214,IDIQ,Set-Aside,Small Business,2,68915.71,2021-03-21,2024-03-19,36
AWD-000489,36C049822M674,2023-09-19,2023,4,VISN 4 Medical Center South,SAO East,Guardian LLC,472H7TJBBRRR,Other Than Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,IDIQ,Set-Aside,Full and Open (No Set-Aside),1,2909164.18,2023-10-02,2024-04-01,6
AWD-000490,36C122737N684,2026-06-16,2026,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 14,Vertex Technologies,52RJHCDJLU5C,Small Business,N/A,IT Services,541519,Other Computer Related Services,D302,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),4,1153279.36,2026-07-05,2027-07-04,12
AWD-000491,36C152463R841,2023-04-02,2023,15,VISN 15 Medical Center North,Strategic Acquisition Center (SAC) - Austin,Vanguard Partners,VQ5UV2N44XP8,Small Business,N/A,IT Services,541519,Other Computer Related Services,D302,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),7,174773.32,2023-04-29,2025-04-27,24
AWD-000492,36C123008K628,2020-12-13,2021,12,VISN 12 Medical Center North,Network Contracting Office (NCO) 17,Apex Consulting,VZC7A7NS56FG,Other Than Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6505,IDIQ,Set-Aside,Full and Open (No Set-Aside),6,236577.39,2020-12-17,2023-12-16,36
AWD-000493,36C036472N647,2025-11-26,2026,3,VISN 3 Medical Center North,National Acquisition Center (NAC),Precision Consulting,LNGFLP8PB5Y6,Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q401,Blanket Purchase Agreement (BPA),Set-Aside,Full and Open (No Set-Aside),6,103302.34,2025-11-29,2026-11-28,12
AWD-000494,36C123130F298,2025-05-20,2025,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 10,Legacy Enterprises,VYH2A6H9M22V,Other Than Small Business,N/A,Security Services,561612,Security Guards and Patrol Services,S206,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),7,561082.04,2025-06-05,2027-06-04,24
AWD-000495,36C027584Y442,2022-05-17,2022,2,VISN 2 Medical Center North,Network Contracting Office (NCO) 2,Vanguard Systems,DKPTUKNDAETX,Other Than Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,IDIQ,Full and Open,Full and Open (No Set-Aside),4,383609.5,2022-05-24,2026-05-22,48
AWD-000496,36C056299M568,2023-07-22,2023,5,VISN 5 Medical Center South,Network Contracting Office (NCO) 4,Anchor Associates,ZCSX2M3Q7RRR,Other Than Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R408,Time and Materials,Set-Aside,Full and Open (No Set-Aside),3,201110.4,2023-07-24,2024-07-22,12
AWD-000497,36C113215F326,2025-02-22,2025,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 15,Vanguard Systems,R35ZDL6K97CY,Small Business,SDVOSB,Security Services,561612,Security Guards and Patrol Services,S206,Firm Fixed Price,Set-Aside,SDVOSB,6,371403.59,2025-03-03,2028-03-01,36
AWD-000498,36C013601D524,2019-01-02,2019,1,VISN 1 Medical Center North,SAO West,Horizon Associates,EZNTGAM3J8K4,Other Than Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q301,Labor Hour,Full and Open,Full and Open (No Set-Aside),2,789838.28,2019-01-29,2020-01-28,12
AWD-000499,36C182916F452,2022-05-29,2022,18,VISN 18 Medical Center Main,Strategic Acquisition Center (SAC) - Austin,Guardian Technologies,VA3RKLSMN4UY,Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,690102.72,2022-06-24,2022-12-23,6
AWD-000500,36C073768W153,2022-03-21,2022,7,VISN 7 Medical Center North,Network Contracting Office (NCO) 1,Summit Associates,PASVTLPNBEQD,Other Than Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6505,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,1643688.11,2022-04-20,2024-04-18,24
AWD-000501,36C159492F646,2021-05-10,2021,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 17,Vertex Group,Q3F5B2TXAZ54,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6525,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,178632.15,2021-05-19,2024-05-17,36
AWD-000502,36C082417J452,2023-10-27,2024,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 3,Liberty Technologies,A4WUVP7Q2VRV,Other Than Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q401,Cost Plus Fixed Fee,Full and Open,Full and Open (No Set-Aside),6,74154.98,2023-11-18,2025-11-16,24
AWD-000503,36C116216L545,2025-07-03,2025,11,VISN 11 Medical Center Main,Network Contracting Office (NCO) 8,Unity Technologies,GL263R3MN9X8,Other Than Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6525,Time and Materials,Limited Competition,Full and Open (No Set-Aside),8,901437.78,2025-08-01,2028-07-30,36
AWD-000504,36C085147L946,2025-10-20,2026,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 17,Sterling Consulting,8TB7ZU8M55W8,Other Than Small Business,N/A,Food Service,311423,Dried and Dehydrated Food Mfg,F002,Time and Materials,Full and Open,Full and Open (No Set-Aside),4,122464.79,2025-10-23,2026-10-22,12
AWD-000505,36C053080P912,2026-05-05,2026,5,VISN 5 Medical Center Main,SAO West,Vertex Industries,QEKA9FFMGK4B,Other Than Small Business,N/A,Medical Equipment,423450,Medical Equipment Merchant Wholesalers,6525,Labor Hour,Limited Competition,Full and Open (No Set-Aside),10,198678.42,2026-05-10,2030-05-08,48
AWD-000506,36C038102X251,2022-08-12,2022,3,VISN 3 Medical Center East,Network Contracting Office (NCO) 16,Precision Group,ZB9KSKMX8ZYJ,Other Than Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R408,Time and Materials,Full and Open,Full and Open (No Set-Aside),2,1130247.51,2022-08-13,2026-08-11,48
AWD-000507,36C135551U463,2024-03-19,2024,13,VISN 13 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Apex Consulting,7YSQYLSG8XJR,Other Than Small Business,N/A,Food Service,311423,Dried and Dehydrated Food Mfg,8940,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),8,282275.71,2024-03-30,2025-03-29,12
AWD-000508,36C168384T762,2023-12-15,2024,16,VISN 16 Medical Center Main,Network Contracting Office (NCO) 12,Legacy Enterprises,FFUCHAVM8FKJ,Other Than Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6520,IDIQ,Set-Aside,Full and Open (No Set-Aside),5,229851.39,2023-12-28,2026-12-26,36
AWD-000509,36C151181V974,2023-12-17,2024,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 15,Atlas Group,75W2ZNUYRKUH,Other Than Small Business,N/A,IT Services,541519,Other Computer Related Services,D316,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,1525048.25,2024-01-07,2027-01-05,36
AWD-000510,36C053597H508,2021-05-25,2021,5,VISN 5 Medical Center Main,Network Contracting Office (NCO) 5,Unity Solutions,6H2HWZYZ3SXJ,Other Than Small Business,N/A,Food Service,722320,Caterers,8940,Time and Materials,Full and Open,Full and Open (No Set-Aside),4,90581.62,2021-06-08,2022-06-07,12
AWD-000511,36C119311B565,2024-09-24,2024,11,VISN 11 Medical Center Main,Technology Acquisition Center (TAC),Atlas Technologies,36683GZPFQ5N,Other Than Small Business,N/A,Construction,236220,Commercial Building Construction,Y1AA,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,1411227.17,2024-09-26,2026-09-25,24
AWD-000512,36C141005N648,2024-04-22,2024,14,VISN 14 Medical Center North,Network Contracting Office (NCO) 2,Beacon Solutions,ZTDD2BTLABU5,Other Than Small Business,N/A,IT Services,518210,"Data Processing, Hosting, and Related Services",D307,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,1094699.63,2024-05-09,2025-05-08,12
AWD-000513,36C073318Q245,2020-11-26,2021,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 17,Summit Solutions,ND35RJR4LL4H,Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R408,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),5,2412876.99,2020-12-12,2022-12-11,24
AWD-000514,36C155195G579,2026-05-22,2026,15,VISN 15 Medical Center North,Network Contracting Office (NCO) 16,Precision Industries,QD8N3FKSQ3HB,Small Business,WOSB,Food Service,311423,Dried and Dehydrated Food Mfg,8940,Labor Hour,Set-Aside,WOSB,6,206486.7,2026-05-28,2027-05-27,12
AWD-000515,36C157843W198,2019-12-14,2020,15,VISN 15 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Meridian Federal Services,88KJF7KFUJL7,Other Than Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q401,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,178452.76,2019-12-26,2021-12-24,24
AWD-000516,36C114423O515,2022-03-08,2022,11,VISN 11 Medical Center North,National Acquisition Center (NAC),Sterling Solutions,4NAV9J7X2P47,Other Than Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R408,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,2950483.32,2022-03-24,2025-03-22,36
AWD-000517,36C067017P185,2024-10-12,2025,6,VISN 6 Medical Center Main,Network Contracting Office (NCO) 7,Liberty Solutions,ZARPRJDJSTQZ,Other Than Small Business,N/A,Facilities Management,561210,Facilities Support Services,S201,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),3,562351.86,2024-10-29,2026-10-28,24
AWD-000518,36C049465T914,2026-06-12,2026,4,VISN 4 Medical Center Main,Network Contracting Office (NCO) 15,Unity LLC,LCD7PFR53CEG,Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,Time and Materials,Limited Competition,Full and Open (No Set-Aside),3,209937.88,2026-07-03,2027-07-02,12
AWD-000519,36C137925P810,2026-02-05,2026,13,VISN 13 Medical Center Main,Network Contracting Office (NCO) 8,Beacon Group,JCZXTZCTT84W,Small Business,N/A,Construction,237990,Other Heavy and Civil Engineering Construction,Z1AA,Firm Fixed Price,Set-Aside,Small Business,7,1233240.4,2026-02-10,2031-02-08,60
AWD-000520,36C019680J649,2025-12-11,2026,1,VISN 1 Medical Center North,Network Contracting Office (NCO) 9,Cornerstone Partners,8ECRGDW8PNCM,Other Than Small Business,N/A,Medical Equipment,339112,Surgical and Medical Instrument Mfg,6515,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),2,271753.84,2026-01-01,2026-12-31,12
AWD-000521,36C102006B429,2022-10-04,2023,10,VISN 10 Medical Center North,Network Contracting Office (NCO) 8,Legacy LLC,EPRATTNMX8S7,Small Business,8(a),Medical Equipment,339112,Surgical and Medical Instrument Mfg,6515,Time and Materials,Set-Aside,8(a),1,918319.63,2022-10-17,2025-10-15,36
AWD-000522,36C046260T768,2020-01-18,2020,4,VISN 4 Medical Center Main,Denver Acquisition and Logistics Center (DALC),Precision Group,Y8QA5ADWN2HC,Small Business,SDVOSB,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q201,Firm Fixed Price,Set-Aside,SDVOSB,7,174147.95,2020-01-25,2021-01-23,12
AWD-000523,36C103470X204,2021-08-20,2021,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 7,Frontier Industries,DQX88T3APH67,Other Than Small Business,N/A,Professional Services,541611,Administrative Management Consulting,R425,IDIQ,Full and Open,Full and Open (No Set-Aside),1,503618.69,2021-09-12,2023-09-11,24
AWD-000524,36C151794E577,2022-06-25,2022,15,VISN 15 Medical Center North,Technology Acquisition Center (TAC),Vanguard Technologies,2HP7QXF45TSK,Other Than Small Business,N/A,Pharmaceuticals,446110,Pharmacies and Drug Stores,6508,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),6,1235978.05,2022-07-19,2023-01-17,6
AWD-000525,36C166064O693,2021-07-09,2021,16,VISN 16 Medical Center South,Network Contracting Office (NCO) 2,Beacon Technologies,JM6DTF6Q4FAU,Other Than Small Business,N/A,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q401,Firm Fixed Price,Full and Open,Full and Open (No Set-Aside),4,790245.95,2021-07-25,2022-07-24,12
AWD-000526,36C082638M501,2021-03-26,2021,8,VISN 8 Medical Center North,Network Contracting Office (NCO) 4,Keystone Partners,6HE2UMB9MYHA,Other Than Small Business,N/A,IT Services,541512,Computer Systems Design Services,D316,Time and Materials,Full and Open,Full and Open (No Set-Aside),3,1213892.86,2021-04-23,2022-04-22,12
AWD-000527,36C135804E170,2020-08-26,2020,13,VISN 13 Medical Center North,Network Contracting Office (NCO) 10,Precision Partners,7SGRBU39LCMV,Small Business,N/A,Transportation,485991,Special Needs Transportation,V231,IDIQ,Set-Aside,Small Business,6,226791.87,2020-09-19,2023-09-18,36
AWD-000528,36C113727W326,2019-04-11,2019,11,VISN 11 Medical Center North,Network Contracting Office (NCO) 10,Vertex Partners,DMR4CXACTPBY,Other Than Small Business,N/A,Food Service,311423,Dried and Dehydrated Food Mfg,F002,Blanket Purchase Agreement (BPA),Full and Open,Full and Open (No Set-Aside),5,316485.42,2019-05-04,2022-05-02,36
AWD-000529,36C146962J166,2019-07-09,2019,14,VISN 14 Medical Center South,Strategic Acquisition Center (SAC) - Austin,Apex Partners,FZJ62Y5X6H7G,Other Than Small Business,N/A,Professional Services,541990,All Other Professional/Scientific/Technical Services,R408,Time and Materials,Full and Open,Full and Open (No Set-Aside),1,41941.37,2019-08-04,2022-08-02,36
AWD-000530,36C148124A687,2021-09-29,2021,14,VISN 14 Medical Center Main,Technology Acquisition Center (TAC),Patriot Group,QTCT2JC8PAVZ,Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q401,Time and Materials,Full and Open,Full and Open (No Set-Aside),4,125289.6,2021-10-16,2025-10-14,48
AWD-000531,36C076089O718,2024-04-30,2024,7,VISN 7 Medical Center Main,Network Contracting Office (NCO) 16,Precision Group,PMZU98R4TGM8,Small Business,SDVOSB,IT Services,541519,Other Computer Related Services,D302,Time and Materials,Set-Aside,SDVOSB,3,5779395.15,2024-05-29,2025-05-28,12
AWD-000532,36C013077E661,2025-11-08,2026,1,VISN 1 Medical Center Main,Strategic Acquisition Center (SAC) - Frederick,Meridian Associates,C68MJBJ7AE6X,Small Business,N/A,Pharmaceuticals,325412,Pharmaceutical Preparation Manufacturing,6508,Blanket Purchase Agreement (BPA),Sole Source,Full and Open (No Set-Aside),1,1014096.99,2025-11-13,2026-11-12,12
AWD-000533,36C129487M547,2019-10-26,2020,12,VISN 12 Medical Center Main,Network Contracting Office (NCO) 10,Unity Industries,9X9GYM7TL6MU,Small Business,N/A,Food Service,722320,Caterers,F002,IDIQ,Set-Aside,Full and Open (No Set-Aside),1,79075.25,2019-11-08,2021-11-06,24
AWD-000534,36C188354Q676,2024-02-09,2024,18,VISN 18 Medical Center South,Network Contracting Office (NCO) 4,Precision Federal Services,DQDYBH6DRCE7,Other Than Small Business,N/A,Construction,236220,Commercial Building Construction,Z1AA,Firm Fixed Price,Limited Competition,Full and Open (No Set-Aside),1,538735.28,2024-02-14,2025-02-12,12
AWD-000535,36C085027G371,2023-08-25,2023,8,VISN 8 Medical Center Main,Network Contracting Office (NCO) 13,Beacon Federal Services,6HAVAFTUKYHT,Small Business,SDVOSB,Medical/Clinical Services,622110,General Medical and Surgical Hospitals,Q201,Firm Fixed Price,Set-Aside,SDVOSB,3,426416.68,2023-09-04,2026-09-02,36
AWD-000536,36C182937O919,2026-01-23,2026,18,VISN 18 Medical Center North,Network Contracting Office (NCO) 2,Horizon Partners,WN2MD95SH5D8,Small Business,N/A,Facilities Management,561720,Janitorial Services,S201,Time and Materials,Full and Open,Full and Open (No Set-Aside),3,81197.69,2026-02-12,2028-02-11,24
AWD-000537,36C101711S616,2025-06-15,2025,10,VISN 10 Medical Center Main,Network Contracting Office (NCO) 1,Cornerstone Consulting,YFQVFKFRZS7C,Small Business,SDVOSB,IT Services,541512,Computer Systems Design Services,D316,Cost Plus Fixed Fee,Set-Aside,SDVOSB,10,1046888.75,2025-07-05,2026-07-04,12
AWD-000538,36C024288M306,2021-03-07,2021,2,VISN 2 Medical Center Main,Network Contracting Office (NCO) 9,Frontier Group,BTHB9VVYGGUS,Other Than Small Business,N/A,Medical/Clinical Services,621399,Offices of Health Practitioners,Q201,Firm Fixed Price,Sole Source,Full and Open (No Set-Aside),1,2098163.2,2021-03-21,2024-03-19,36
AWD-000539,36C094978Q529,2023-04-22,2023,9,VISN 9 Medical Center East,Network Contracting Office (NCO) 14,Sterling Associates,XMHS48KLGMFC,Small Business,SDVOSB,Construction,237990,Other Heavy and Civil Engineering Construction,Y1AA,Firm Fixed Price,Set-Aside,SDVOSB,2,10130315.98,2023-04-28,2024-04-26,12
AWD-000540,36C151067R218,2024-07-17,2024,15,VISN 15 Medical Center Main,Network Contracting Office (NCO) 8,Beacon Partners,9EZJNTLRVNC2,Other Than Small Business,N/A,Medical/Clinical Services,621111,Offices of Physicians,Q401,Blanket Purchase Agreement (BPA),Set-Aside,Full and Open (No Set-Aside),2,605817.62,2024-08-14,2025-08-13,12
AWD-000541,36C037117R897,2023-06-25,2023,3,VISN 3 Medical Center East,Network Contracting Office (NCO) 2,Atlas LLC,C8EECFCBNTW6,Small Business,8(a),IT Services,518210,"Data Processing, Hosting, and Related Services",D316,Time and Materials,Set-Aside,8(a),6,1505245.98,2023-07-05,2025-07-03,24
