Record_ID,Fiscal_Year,VISN,Category,NAICS_Code,PSC_Code,Contract_Type,Set_Aside_Type,Competition_Type,Vendor_Size,Socioeconomic_Category,Estimated_Value,Number_of_Offers_Received,Incumbent_Present,Requirement_Complexity_Score,Contracting_Office_Open_Actions,Days_Since_Requirement_Posted,Prior_Year_Spend_Same_Requirement,Award_Amount,Days_to_Award,Small_Business_Award,Protest_Filed,On_Time_Award
MODEL-000981,2021,8,Medical/Clinical Services,622110,Q201,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,88247.67,3,No,6,37,56,0.0,79926.17,96,0,0,1
MODEL-000982,2024,4,IT Services,541519,D302,IDIQ,WOSB,Set-Aside,Small Business,WOSB,4725178.28,3,No,8,47,56,0.0,5183649.8,117,1,0,0
MODEL-000983,2024,15,IT Services,541519,D316,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,342383.97,3,Yes,3,50,32,258629.83,361489.29,69,1,0,1
MODEL-000984,2021,18,Construction,237990,Y1AA,Firm Fixed Price,Full and Open (No Set-Aside),Sole Source,Small Business,N/A,11503009.52,1,No,6,35,110,0.0,13033536.86,142,0,0,0
MODEL-000985,2023,8,Facilities Management,561210,S201,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,49849.83,4,No,3,37,21,0.0,41633.57,73,1,0,1
MODEL-000986,2021,11,Transportation,492110,V231,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,248895.41,7,No,7,49,5,0.0,221067.37,125,0,0,0
MODEL-000987,2026,12,Medical/Clinical Services,621399,Q301,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,1295537.2,4,Yes,8,65,107,914146.58,1287282.6,102,1,0,1
MODEL-000988,2026,11,Professional Services,541990,R425,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,284435.05,5,No,6,32,95,0.0,229888.79,89,1,0,1
MODEL-000989,2021,18,IT Services,518210,D302,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,152225.27,4,No,5,33,59,0.0,157290.52,93,1,0,1
MODEL-000990,2021,17,Food Service,311423,F002,IDIQ,VOSB,Set-Aside,Small Business,VOSB,115555.01,4,No,5,38,90,0.0,124703.65,62,1,0,1
MODEL-000991,2026,11,Medical/Clinical Services,621399,Q201,Firm Fixed Price,VOSB,Set-Aside,Other Than Small Business,VOSB,1560057.0,8,No,8,34,67,0.0,1710180.81,109,0,0,1
MODEL-000992,2025,2,Professional Services,541611,R408,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,331568.16,3,No,1,27,62,0.0,352900.18,42,1,0,1
MODEL-000993,2022,18,Medical/Clinical Services,621111,Q201,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,340585.43,4,No,3,45,63,0.0,343330.28,101,0,0,0
MODEL-000994,2024,1,Facilities Management,561720,S201,IDIQ,WOSB,Set-Aside,Small Business,WOSB,161133.16,2,No,8,47,64,0.0,156461.42,90,1,0,1
MODEL-000995,2023,8,Transportation,485991,V231,IDIQ,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,198564.93,7,No,4,45,71,0.0,247742.91,108,0,0,0
MODEL-000996,2022,18,Transportation,492110,V231,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,151541.01,3,Yes,7,44,40,175646.89,157536.0,77,1,0,1
MODEL-000997,2023,8,Medical/Clinical Services,621111,Q301,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,1536904.54,3,Yes,6,53,100,1857990.11,1775970.34,100,0,0,1
MODEL-000998,2024,15,Medical/Clinical Services,622110,Q401,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,440845.26,9,Yes,6,21,31,421476.79,457096.63,91,0,0,1
MODEL-000999,2026,14,Pharmaceuticals,325412,6508,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,1108723.35,5,Yes,10,45,50,794406.88,1015988.54,100,1,0,1
MODEL-001000,2021,6,Professional Services,541611,R425,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,605458.74,4,Yes,5,50,54,558688.56,649338.81,79,1,0,1
MODEL-001001,2021,8,Medical/Clinical Services,621399,Q401,Blanket Purchase Agreement (BPA),Small Business,Set-Aside,Small Business,N/A,291744.69,2,Yes,1,71,60,366757.25,216162.58,44,1,0,1
MODEL-001002,2025,18,Medical/Clinical Services,621399,Q301,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,260061.61,5,Yes,7,63,52,206994.41,267180.81,101,0,0,1
MODEL-001003,2026,10,Construction,237990,Z1AA,Blanket Purchase Agreement (BPA),8(a),Set-Aside,Small Business,8(a),697835.87,1,Yes,6,49,33,592883.66,680566.72,75,1,0,1
MODEL-001004,2022,7,Facilities Management,561720,S214,Time and Materials,WOSB,Set-Aside,Small Business,WOSB,1325078.41,5,Yes,8,20,76,992209.57,1412115.47,86,1,0,1
MODEL-001005,2022,9,IT Services,541519,D302,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,817499.54,4,Yes,5,69,56,768028.85,835956.84,84,0,0,1
MODEL-001006,2023,8,Medical/Clinical Services,622110,Q201,Firm Fixed Price,SDVOSB,Set-Aside,Other Than Small Business,SDVOSB,581584.72,3,Yes,7,50,30,731279.21,723853.77,59,1,0,1
MODEL-001007,2021,18,Security Services,561612,S206,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,533935.75,4,Yes,7,37,87,418922.36,735838.39,93,1,0,1
MODEL-001008,2025,15,IT Services,518210,D307,Time and Materials,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,1761336.94,8,No,8,70,70,0.0,1935148.6,144,1,0,0
MODEL-001009,2022,9,Pharmaceuticals,325412,6505,Cost Plus Fixed Fee,SDVOSB,Set-Aside,Small Business,SDVOSB,82820.55,4,No,7,35,61,0.0,105918.61,79,1,0,1
MODEL-001010,2024,4,Facilities Management,561210,S214,Time and Materials,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,150551.83,3,Yes,2,56,60,136003.97,156466.76,64,0,0,1
MODEL-001011,2024,9,Medical/Clinical Services,621399,Q201,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,245547.57,4,Yes,4,11,57,292110.71,268909.63,88,0,0,0
MODEL-001012,2023,14,Medical Equipment,339112,6525,Labor Hour,VOSB,Set-Aside,Small Business,VOSB,123161.01,1,Yes,3,23,14,97602.25,116981.78,50,1,0,1
MODEL-001013,2021,5,Professional Services,541611,R425,IDIQ,Small Business,Set-Aside,Small Business,N/A,49754.3,4,Yes,4,31,19,52420.4,54766.96,77,1,0,1
MODEL-001014,2022,13,Pharmaceuticals,446110,6508,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,190701.89,5,No,3,29,49,0.0,172777.03,64,1,0,1
MODEL-001015,2022,8,Construction,237990,Y1AA,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,2276633.15,3,No,6,90,63,0.0,2296929.73,104,1,0,0
MODEL-001016,2022,15,Medical/Clinical Services,621399,Q201,Blanket Purchase Agreement (BPA),WOSB,Set-Aside,Small Business,WOSB,667211.26,2,Yes,1,49,44,823755.89,576016.35,62,1,0,1
MODEL-001017,2021,7,IT Services,541519,D302,Time and Materials,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,33107.51,5,Yes,3,39,25,32069.96,30448.69,88,1,0,0
MODEL-001018,2023,13,Facilities Management,561720,S214,Firm Fixed Price,HUBZone,Set-Aside,Small Business,HUBZone,128183.02,2,Yes,2,47,80,114717.81,150422.46,28,1,0,1
MODEL-001019,2023,18,Pharmaceuticals,325412,6505,Firm Fixed Price,Full and Open (No Set-Aside),Limited Competition,Other Than Small Business,N/A,200465.35,7,No,5,64,50,0.0,218358.54,69,0,0,1
MODEL-001020,2025,3,Construction,236220,Y1AA,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,9150433.17,3,Yes,9,34,58,8880539.72,8259935.05,148,0,0,0
MODEL-001021,2022,8,IT Services,518210,D302,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,758065.61,6,No,5,72,49,0.0,625681.8,68,1,0,1
MODEL-001022,2022,3,Construction,237990,Z1AA,Time and Materials,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,131544.93,4,Yes,3,30,47,120753.42,124188.14,69,0,0,1
MODEL-001023,2021,17,Facilities Management,561210,S214,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,634774.48,3,Yes,6,56,74,668753.12,596108.67,76,0,0,1
MODEL-001024,2021,9,Medical Equipment,339112,6515,Blanket Purchase Agreement (BPA),Small Business,Set-Aside,Small Business,N/A,365157.67,4,No,4,30,69,0.0,361351.57,76,1,0,1
MODEL-001025,2026,5,Medical/Clinical Services,622110,Q201,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,28164.84,9,Yes,3,6,50,31621.86,29296.35,52,1,0,1
MODEL-001026,2023,9,Medical Equipment,339112,6525,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,351252.42,3,No,6,49,55,0.0,362888.47,112,1,0,0
MODEL-001027,2026,5,Construction,236220,Z1AA,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,363414.62,4,Yes,5,40,39,412526.12,370009.48,74,1,0,1
MODEL-001028,2022,5,Construction,236220,Z1AA,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,4322742.03,3,Yes,6,20,90,5018394.03,4561548.36,92,1,0,1
MODEL-001029,2023,18,Medical Equipment,339112,6520,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,40800.25,5,No,4,37,45,0.0,46716.81,78,1,0,1
MODEL-001030,2024,17,Medical Equipment,423450,6525,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,316277.61,6,No,2,24,39,0.0,345222.0,76,0,0,0
MODEL-001031,2023,13,Professional Services,541611,R408,Time and Materials,Full and Open (No Set-Aside),Sole Source,Small Business,N/A,64874.52,1,No,3,77,74,0.0,67635.8,72,0,0,1
MODEL-001032,2026,9,Construction,237990,Y1AA,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,5767654.07,4,Yes,5,42,17,6718805.3,5407397.31,103,1,0,0
MODEL-001033,2023,8,Medical/Clinical Services,621399,Q401,IDIQ,WOSB,Set-Aside,Small Business,WOSB,202793.23,6,Yes,6,52,97,143767.57,215583.77,81,1,0,1
MODEL-001034,2023,9,Medical/Clinical Services,622110,Q401,Time and Materials,Small Business,Set-Aside,Small Business,N/A,198724.0,3,Yes,8,55,16,158437.86,191040.79,88,1,0,1
MODEL-001035,2022,8,IT Services,541512,D307,Labor Hour,Small Business,Set-Aside,Small Business,N/A,751427.65,2,No,5,21,53,0.0,745198.0,69,1,0,1
MODEL-001036,2022,18,Facilities Management,561210,S201,Firm Fixed Price,8(a),Set-Aside,Small Business,8(a),1493893.66,2,Yes,4,34,51,1117197.54,1826614.8,53,1,0,1
MODEL-001037,2022,8,Pharmaceuticals,325412,6508,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,1526607.74,2,Yes,4,26,45,1281045.48,1534984.74,47,1,0,1
MODEL-001038,2022,12,Food Service,722320,8940,Cost Plus Fixed Fee,SDVOSB,Set-Aside,Small Business,SDVOSB,104750.07,3,Yes,5,57,56,116350.62,93374.47,80,1,0,1
MODEL-001039,2023,12,Facilities Management,561210,S201,Blanket Purchase Agreement (BPA),SDVOSB,Set-Aside,Small Business,SDVOSB,840716.45,3,Yes,4,25,44,755712.25,883658.23,49,1,0,1
MODEL-001040,2025,4,Medical Equipment,339112,6515,Time and Materials,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,533097.21,6,Yes,7,32,34,561949.43,544917.24,93,0,0,1
MODEL-001041,2025,12,IT Services,541512,D316,Time and Materials,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,1340975.58,2,No,3,32,67,0.0,1225977.79,96,1,0,0
MODEL-001042,2023,12,Pharmaceuticals,446110,6505,Labor Hour,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,4162470.69,6,Yes,5,19,45,3073454.13,3253476.45,108,0,0,0
MODEL-001043,2022,12,Pharmaceuticals,446110,6505,Labor Hour,SDVOSB,Set-Aside,Small Business,SDVOSB,262300.62,4,Yes,5,49,62,324848.61,224159.14,82,1,0,1
MODEL-001044,2026,17,IT Services,541512,D316,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,69428.94,6,Yes,4,42,69,73938.48,83398.99,76,0,0,1
MODEL-001045,2023,2,Facilities Management,561720,S214,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,513207.82,5,Yes,7,48,91,557353.78,560304.05,118,0,0,0
MODEL-001046,2021,4,Food Service,311423,F002,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,996106.59,1,No,5,37,87,0.0,1058053.34,76,1,0,1
MODEL-001047,2022,10,IT Services,541519,D302,Time and Materials,8(a),Set-Aside,Small Business,8(a),649750.19,3,No,3,57,76,0.0,542737.56,70,1,0,1
MODEL-001048,2026,13,Construction,237990,Z1AA,Blanket Purchase Agreement (BPA),WOSB,Set-Aside,Other Than Small Business,WOSB,1451595.02,6,No,4,28,85,0.0,1462014.54,84,1,0,1
MODEL-001049,2023,3,Pharmaceuticals,446110,6505,Firm Fixed Price,Full and Open (No Set-Aside),Limited Competition,Other Than Small Business,N/A,331353.06,5,No,1,61,38,0.0,381251.34,77,0,0,0
MODEL-001050,2022,3,Medical/Clinical Services,622110,Q301,Time and Materials,WOSB,Set-Aside,Small Business,WOSB,388795.98,4,Yes,6,67,118,342352.37,390755.61,76,0,0,1
MODEL-001051,2022,1,Medical/Clinical Services,621399,Q401,Time and Materials,VOSB,Set-Aside,Small Business,VOSB,378922.6,4,Yes,6,72,70,277067.55,395714.25,82,1,0,1
MODEL-001052,2023,11,IT Services,541512,D307,IDIQ,VOSB,Set-Aside,Small Business,VOSB,1174581.99,3,Yes,6,39,66,1382263.63,1078298.56,93,1,0,1
MODEL-001053,2021,3,Medical Equipment,423450,6525,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,229458.85,2,Yes,3,28,120,191022.01,235066.1,49,1,0,1
MODEL-001054,2021,9,IT Services,518210,D316,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,794140.75,2,Yes,4,30,94,569874.11,638804.37,82,1,0,1
MODEL-001055,2023,8,Medical Equipment,423450,6520,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,252181.06,2,Yes,10,40,35,223254.1,285873.97,78,1,0,1
MODEL-001056,2023,1,Medical/Clinical Services,622110,Q401,Blanket Purchase Agreement (BPA),Small Business,Set-Aside,Small Business,N/A,142251.95,4,Yes,4,33,71,103802.6,149902.66,72,1,0,1
MODEL-001057,2024,6,Medical/Clinical Services,622110,Q201,Firm Fixed Price,SDVOSB,Set-Aside,Other Than Small Business,SDVOSB,180586.85,3,No,2,51,99,0.0,155089.27,73,0,0,0
MODEL-001058,2025,2,Pharmaceuticals,446110,6505,Firm Fixed Price,HUBZone,Set-Aside,Small Business,HUBZone,611326.32,5,Yes,2,41,44,769289.63,677107.31,71,1,0,1
MODEL-001059,2025,15,Food Service,311423,F002,Blanket Purchase Agreement (BPA),Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,612975.8,4,No,3,40,91,0.0,617165.73,103,0,0,0
MODEL-001060,2021,18,Medical/Clinical Services,621111,Q401,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,428620.15,3,Yes,4,48,86,461573.4,448939.86,36,1,0,1
MODEL-001061,2024,3,IT Services,541512,D307,IDIQ,Small Business,Set-Aside,Small Business,N/A,112886.43,3,Yes,5,62,84,139536.88,111040.6,87,1,0,1
MODEL-001062,2023,6,Medical Equipment,423450,6515,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,329775.94,6,Yes,6,22,15,384567.1,361113.4,70,1,0,1
MODEL-001063,2023,13,Medical/Clinical Services,621399,Q301,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,459412.71,10,No,2,97,101,0.0,440770.08,77,1,0,0
MODEL-001064,2024,11,Professional Services,541611,R408,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,988139.96,9,Yes,2,19,118,1025311.03,859909.59,99,0,0,0
MODEL-001065,2025,9,Professional Services,541990,R425,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,3520149.69,4,Yes,8,50,80,3697548.17,4087311.62,111,1,0,1
MODEL-001066,2026,16,Medical/Clinical Services,621111,Q301,Blanket Purchase Agreement (BPA),SDVOSB,Set-Aside,Small Business,SDVOSB,599157.48,6,No,6,37,77,0.0,707554.18,88,0,0,1
MODEL-001067,2024,5,Facilities Management,561210,S214,Labor Hour,SDVOSB,Set-Aside,Small Business,SDVOSB,1732536.78,2,Yes,7,74,75,1577755.99,1784320.87,74,1,0,1
MODEL-001068,2022,2,Facilities Management,561210,S214,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,463228.11,8,Yes,3,56,47,380513.22,453864.35,46,1,0,1
MODEL-001069,2024,6,Pharmaceuticals,446110,6508,Cost Plus Fixed Fee,SDVOSB,Set-Aside,Small Business,SDVOSB,135895.59,5,Yes,5,47,23,116391.46,154861.42,67,0,0,1
MODEL-001070,2024,11,Professional Services,541611,R408,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,1206222.22,3,No,3,58,40,0.0,1308955.2,94,1,0,0
MODEL-001071,2023,16,Professional Services,541990,R408,IDIQ,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,527236.44,3,No,8,46,26,0.0,502924.59,92,0,0,1
MODEL-001072,2022,17,Construction,237990,Z1AA,IDIQ,Full and Open (No Set-Aside),Limited Competition,Other Than Small Business,N/A,3372836.4,1,Yes,7,50,71,3646463.7,3733056.24,55,0,0,1
MODEL-001073,2022,10,Security Services,561612,S206,Cost Plus Fixed Fee,VOSB,Set-Aside,Small Business,VOSB,843623.76,3,Yes,6,64,95,718259.11,835428.15,72,1,0,1
MODEL-001074,2022,1,Pharmaceuticals,325412,6508,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,482117.18,6,Yes,5,11,101,591961.97,515948.89,96,1,0,0
MODEL-001075,2023,3,Medical/Clinical Services,622110,Q201,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,179945.0,5,No,5,28,39,0.0,174589.06,92,1,0,1
MODEL-001076,2026,3,Food Service,311423,8940,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,137133.82,2,Yes,3,56,65,139952.45,105823.32,35,1,0,1
MODEL-001077,2024,9,IT Services,518210,D307,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,923028.29,4,Yes,3,41,115,845991.44,994483.33,69,0,1,1
MODEL-001078,2023,17,Facilities Management,561720,S201,IDIQ,VOSB,Set-Aside,Small Business,VOSB,584742.54,11,Yes,6,61,81,525225.32,622542.02,78,1,0,1
MODEL-001079,2023,13,Facilities Management,561210,S201,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,125349.22,9,No,4,55,26,0.0,123233.55,131,0,0,0
MODEL-001080,2022,13,IT Services,541512,D316,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,476833.35,4,Yes,5,46,66,507106.74,389389.03,82,0,0,1
MODEL-001081,2025,3,Medical/Clinical Services,621399,Q201,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,681612.13,5,Yes,6,56,53,664452.41,732287.6,99,0,0,1
MODEL-001082,2022,17,Medical Equipment,339112,6515,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,108029.04,8,Yes,7,32,100,119826.95,116251.07,82,0,0,1
MODEL-001083,2021,4,Medical/Clinical Services,621111,Q201,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,60095.92,4,Yes,7,73,66,50733.55,49023.57,66,1,0,1
MODEL-001084,2023,9,IT Services,518210,D316,Labor Hour,HUBZone,Set-Aside,Small Business,HUBZone,745825.13,2,No,4,70,48,0.0,953620.72,64,0,0,1
MODEL-001085,2026,16,Pharmaceuticals,446110,6508,Time and Materials,VOSB,Set-Aside,Small Business,VOSB,818869.25,7,Yes,5,27,62,901088.71,879243.13,76,1,0,1
MODEL-001086,2026,10,Pharmaceuticals,446110,6505,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,309636.78,3,No,8,49,65,0.0,349951.85,128,0,0,0
MODEL-001087,2025,17,Medical Equipment,339112,6525,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,70829.2,3,No,7,51,69,0.0,69616.28,87,1,0,1
MODEL-001088,2025,16,Transportation,492110,V119,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,111278.23,2,No,3,84,47,0.0,112513.75,58,1,0,1
MODEL-001089,2021,1,Construction,237990,Z1AA,IDIQ,Small Business,Set-Aside,Small Business,N/A,4545654.98,3,Yes,3,68,99,5371901.61,3892873.28,85,1,0,0
MODEL-001090,2023,11,Professional Services,541611,R425,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,31931.38,2,No,5,41,51,0.0,31794.3,69,1,0,1
MODEL-001091,2024,8,Transportation,485991,V119,Firm Fixed Price,8(a),Set-Aside,Small Business,8(a),155246.38,3,No,4,23,55,0.0,174539.93,95,1,0,0
MODEL-001092,2023,17,Facilities Management,561720,S214,Time and Materials,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,94795.86,6,Yes,4,59,47,94426.12,76589.82,90,0,0,0
MODEL-001093,2023,5,Pharmaceuticals,446110,6505,Firm Fixed Price,Full and Open (No Set-Aside),Sole Source,Small Business,N/A,151848.26,1,No,4,70,31,0.0,174965.55,44,1,0,1
MODEL-001094,2022,8,Pharmaceuticals,325412,6508,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,125199.78,4,No,7,54,54,0.0,144474.5,108,0,0,1
MODEL-001095,2021,2,Medical/Clinical Services,621399,Q401,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,141278.92,2,Yes,5,74,46,149536.96,170469.55,103,0,0,0
MODEL-001096,2023,16,Pharmaceuticals,446110,6508,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,787375.68,3,Yes,4,45,56,753545.91,837928.85,75,1,0,1
MODEL-001097,2022,10,Medical/Clinical Services,621399,Q201,Time and Materials,VOSB,Set-Aside,Small Business,VOSB,175540.39,6,No,5,27,24,0.0,149846.77,100,1,0,0
MODEL-001098,2024,1,Pharmaceuticals,325412,6508,Time and Materials,Full and Open (No Set-Aside),Sole Source,Other Than Small Business,N/A,1318112.38,1,No,7,26,44,0.0,1453018.75,108,0,0,1
MODEL-001099,2025,13,Medical/Clinical Services,622110,Q301,Time and Materials,SDVOSB,Set-Aside,Small Business,SDVOSB,710796.95,3,No,5,30,56,0.0,641689.22,87,1,0,1
MODEL-001100,2022,4,Pharmaceuticals,446110,6505,Blanket Purchase Agreement (BPA),SDVOSB,Set-Aside,Small Business,SDVOSB,661770.66,3,Yes,3,48,84,613510.16,603140.25,47,1,0,1
MODEL-001101,2025,4,IT Services,518210,D302,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,836989.44,4,No,6,65,59,0.0,891384.71,113,0,0,0
MODEL-001102,2024,17,Pharmaceuticals,446110,6505,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,432636.97,2,No,2,13,90,0.0,382115.04,81,1,0,0
MODEL-001103,2026,14,Pharmaceuticals,446110,6508,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,1782071.69,4,No,5,39,100,0.0,1674245.36,81,1,0,1
MODEL-001104,2026,4,IT Services,541512,D302,Labor Hour,WOSB,Set-Aside,Small Business,WOSB,6309372.96,3,Yes,6,44,54,5803301.47,5973307.62,111,1,0,0
MODEL-001105,2021,4,Professional Services,541990,R425,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,120381.26,6,Yes,5,36,82,131527.53,141809.34,110,0,0,0
MODEL-001106,2021,16,Food Service,311423,8940,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,268316.68,7,No,3,60,85,0.0,239880.08,89,1,0,0
MODEL-001107,2024,6,Medical/Clinical Services,621111,Q401,Firm Fixed Price,VOSB,Set-Aside,Small Business,VOSB,45012.49,4,No,2,25,30,0.0,37190.72,57,1,0,1
MODEL-001108,2023,2,Security Services,561612,S206,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,647313.07,5,No,4,54,50,0.0,615288.96,89,1,0,0
MODEL-001109,2025,1,Medical/Clinical Services,621111,Q401,Firm Fixed Price,WOSB,Set-Aside,Small Business,WOSB,143345.45,7,Yes,5,33,69,110867.18,141939.89,73,1,0,1
MODEL-001110,2022,15,Medical Equipment,339112,6515,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,772265.31,4,Yes,5,41,72,652011.03,839630.49,79,1,0,1
MODEL-001111,2026,11,Facilities Management,561210,S201,Firm Fixed Price,VOSB,Set-Aside,Other Than Small Business,VOSB,683246.98,5,Yes,5,75,67,755199.5,508851.35,70,1,1,1
MODEL-001112,2024,17,Medical/Clinical Services,621399,Q401,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,1061670.47,4,No,8,56,42,0.0,1172260.41,114,0,0,1
MODEL-001113,2023,3,IT Services,541519,D302,Firm Fixed Price,8(a),Set-Aside,Small Business,8(a),702353.77,2,Yes,4,5,31,731145.91,663199.07,71,1,0,1
MODEL-001114,2026,16,Professional Services,541990,R425,Firm Fixed Price,Small Business,Set-Aside,Other Than Small Business,N/A,131382.45,4,Yes,4,17,35,167583.92,145753.96,51,1,0,1
MODEL-001115,2022,6,Medical/Clinical Services,622110,Q301,IDIQ,SDVOSB,Set-Aside,Small Business,SDVOSB,432000.6,2,Yes,7,5,40,360814.99,407351.77,81,1,0,1
MODEL-001116,2024,5,Medical/Clinical Services,622110,Q201,Time and Materials,VOSB,Set-Aside,Small Business,VOSB,711567.14,9,No,7,60,33,0.0,875515.81,105,1,0,1
MODEL-001117,2022,16,Professional Services,541990,R408,Cost Plus Fixed Fee,Full and Open (No Set-Aside),Full and Open,Other Than Small Business,N/A,162683.26,7,Yes,5,75,72,198858.2,184417.37,93,0,0,1
MODEL-001118,2023,12,Pharmaceuticals,325412,6505,Firm Fixed Price,SDVOSB,Set-Aside,Small Business,SDVOSB,270231.43,2,Yes,1,32,39,265962.69,274568.9,48,0,0,1
MODEL-001119,2023,17,Construction,236220,Z1AA,Firm Fixed Price,Full and Open (No Set-Aside),Full and Open,Small Business,N/A,439720.63,6,Yes,4,57,93,484251.81,433089.79,118,0,0,0
MODEL-001120,2022,2,Medical/Clinical Services,621111,Q301,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,120682.02,4,Yes,4,40,42,136721.29,112572.31,84,1,0,1
MODEL-001121,2026,9,Facilities Management,561210,S214,Firm Fixed Price,Small Business,Set-Aside,Small Business,N/A,220319.53,3,No,3,45,32,0.0,217358.09,88,1,0,0
